날짜,거래량
2020.09.29,244337
2020.09.28,349886
2020.09.25,330340
2020.09.24,467569
2020.09.23,592482
2020.09.22,785215
2020.09.21,523862
2020.09.18,428497
2020.09.17,585663
2020.09.16,1086096
2020.09.15,1116311
2020.09.14,990314
2020.09.11,1330831
2020.09.10,985315
2020.09.09,1909466
2020.09.08,1499532
2020.09.07,3006663
2020.09.04,5522177
2020.09.03,2158052
2020.09.02,764416
2020.09.01,817567
2020.08.31,1615506
2020.08.28,423773
2020.08.27,464549
2020.08.26,616336
2020.08.25,724885
2020.08.24,328660
2020.08.21,348306
2020.08.20,707860
2020.08.19,419973
2020.08.18,1516708
2020.08.14,834234
2020.08.13,914835
2020.08.12,616485
2020.08.11,448605
2020.08.10,563337
2020.08.07,332300
2020.08.06,332641
2020.08.05,316959
2020.08.04,438594
2020.08.03,443803
2020.07.31,830571
2020.07.30,2382653
2020.07.29,4687631
2020.07.28,459708
2020.07.27,437617
2020.07.24,228270
2020.07.23,301127
2020.07.22,307030
2020.07.21,358516
2020.07.20,211473
2020.07.17,190594
2020.07.16,298162
2020.07.15,578599
2020.07.14,298066
2020.07.13,387262
2020.07.10,373338
2020.07.09,704499
2020.07.08,223315
2020.07.07,379246
2020.07.06,330748
2020.07.03,212680
2020.07.02,213537
2020.07.01,486887
2020.06.30,489803
2020.06.29,524561
2020.06.26,389260
2020.06.25,583629
2020.06.24,553120
2020.06.23,784996
2020.06.22,439436
2020.06.19,770539
2020.06.18,757107
2020.06.17,1959016
2020.06.16,1372469
2020.06.15,1457992
2020.06.12,1583488
2020.06.11,2786127
2020.06.10,4514868
2020.06.09,10872062
2020.06.08,2427303
2020.06.05,220938
2020.06.04,293309
2020.06.03,465623
2020.06.02,196383
2020.06.01,203734
2020.05.29,511626
2020.05.28,281378
2020.05.27,457875
2020.05.26,367562
2020.05.25,141503
2020.05.22,264076
2020.05.21,237038
2020.05.20,152981
2020.05.19,290227
2020.05.18,253983
2020.05.15,178106
2020.05.14,332175
2020.05.13,212007
2020.05.12,282593
2020.05.11,288300
2020.05.08,204181
2020.05.07,169720
2020.05.06,321757
